Date,Open,High,Low,Close,Adj Close,Volume
2018-10-29,1.983800,2.025500,1.965000,1.996600,1.282943,138948024
2018-10-30,2.004000,2.037500,1.976600,1.992000,1.279987,139416219
2018-10-31,2.016000,2.016500,1.952600,1.953000,1.254927,143916292
2018-11-01,1.948800,1.989800,1.941400,1.985800,1.276003,91713172
2018-11-02,2.014000,2.024000,1.998800,2.006500,1.289304,109052982
2018-11-05,1.993000,1.998000,1.952400,1.976200,1.269834,103652678
2018-11-06,1.965800,2.047000,1.943200,2.001500,1.286091,132803129
2018-11-07,2.003000,2.058500,2.000000,2.055000,1.320468,125316058
2018-11-08,2.060000,2.084000,2.013000,2.029000,1.303761,106216198
2018-11-09,2.010000,2.020500,1.983000,2.005500,1.288661,98184591
2018-11-12,2.005500,2.009000,1.960200,1.960200,1.259553,79170654
2018-11-13,1.963800,2.008000,1.946600,2.002500,1.286734,105234290
2018-11-14,1.979800,2.004500,1.953200,1.978800,1.271505,76374993
2018-11-15,1.985800,2.003500,1.928400,1.953800,1.255441,104677883
2018-11-16,1.955600,1.969400,1.906000,1.919400,1.233337,139676738
2018-11-19,1.912000,1.964400,1.912000,1.926200,1.237706,88806183
2018-11-20,1.916000,1.921600,1.862000,1.878800,1.207249,127619731
2018-11-21,1.920000,1.951000,1.899000,1.932000,1.241433,125373323
2018-11-22,1.923800,1.962800,1.899000,1.931800,1.241305,97234477
2018-11-23,1.940000,1.973000,1.935200,1.952200,1.254413,87275762
2018-11-26,2.020500,2.073000,2.012500,2.040500,1.311151,166858254
2018-11-27,2.032000,2.071500,2.024000,2.039500,1.310508,116192459
2018-11-28,2.040000,2.074000,2.040000,2.054000,1.319826,125809191
2018-11-29,2.080000,2.093000,2.021500,2.032500,1.306011,125288930
2018-11-30,2.039000,2.048000,2.003000,2.048000,1.315970,100495146
2018-12-03,2.095500,2.123000,2.090000,2.112500,1.357416,147050057
2018-12-04,2.104500,2.116500,2.064000,2.064000,1.326251,107007794
2018-12-05,2.040000,2.089500,2.026500,2.080500,1.336854,110688306
2018-12-06,2.054000,2.059000,1.965400,1.973400,1.268035,191779021
2018-12-07,1.993600,2.001500,1.976200,1.982000,1.273561,98272066
2018-12-10,1.970400,1.999000,1.939600,1.939600,1.246316,109203349
2018-12-11,1.946000,1.955800,1.926200,1.934000,1.242718,98428574
2018-12-12,1.941800,2.022500,1.933600,2.013000,1.293480,132886707
2018-12-13,2.050000,2.096000,2.024000,2.032000,1.305689,144099680
2018-12-14,2.022000,2.029000,1.984200,2.014000,1.294123,81335907
2018-12-17,2.020000,2.021500,1.973000,1.973000,1.267778,91045602
2018-12-18,1.959600,2.008000,1.951200,1.985000,1.275489,95631383
2018-12-19,2.034500,2.087000,2.017000,2.019000,1.297336,155252646
2018-12-20,1.989000,1.995400,1.945000,1.945000,1.249786,191159766
2018-12-21,1.932600,1.941200,1.894000,1.912200,1.228710,228601040
2018-12-27,1.900000,1.915200,1.881400,1.909000,1.226654,131601243
2018-12-28,1.920200,1.961800,1.913600,1.939800,1.246445,101913177
2019-01-02,1.927600,1.933000,1.882800,1.906400,1.224983,98236797
2019-01-03,1.895200,1.945800,1.895000,1.901400,1.221770,120516423
2019-01-04,1.923000,1.999200,1.920000,1.999200,1.284613,135132352
2019-01-07,2.010000,2.043000,2.001000,2.033000,1.306332,106166510
2019-01-08,2.037000,2.057000,2.004000,2.009500,1.291232,110672611
2019-01-09,2.024500,2.029500,1.993000,2.006500,1.289304,105878636
2019-01-10,1.996200,2.026000,1.988600,2.021000,1.298621,73505445
2019-01-11,2.020500,2.025000,1.990200,2.011000,1.292195,82192921
2019-01-14,1.999800,2.009000,1.958800,1.981800,1.273432,106073872
2019-01-15,1.998000,2.008000,1.923400,1.957000,1.257497,137344144
2019-01-16,1.966600,2.030000,1.966600,2.030000,1.304404,131053327
